qid,query
51,airbus subsidies
52,south african sanctions
53,leveraged buyouts
54,satellite launch contracts
55,insider trading
56,prime lending rate moves predictions
57,mci
58,rail strikes
59,weather related fatalities
60,merit pay vs seniority
61,israeli role in iran contra affair
62,military coups d etat
63,machine translation
64,hostage taking
65,information retrieval systems
66,natural language processing
67,politically motivated civil disturbances
68,health hazards from fine diameter fibers
69,attempts to revive the salt ii treaty
70,surrogate motherhood
071,topic border incursions
072,topic demographic shifts in the u s
73,demographic shifts across national boundaries
74,conflicting policy
75,automation
76,u s constitution original intent
77,poaching
78,greenpeace
79,frg political party positions
80,1988 presidential candidates platforms
81,financial crunch for televangelists in the wake of the ptl scandal
82,genetic engineering
83,measures to protect the atmosphere
84,alternative renewable energy plant equipment installation
85,official corruption
86,bank failures
87,criminal actions against officers of failed financial institutions
88,crude oil price trends
89,downstream investments by opec member states
90,data on proven reserves of oil natural gas producers
91,u s army acquisition of advanced weapons systems
92,international military equipment sales
93,what backing does the national rifle association have
94,computer aided crime
95,computer aided crime detection
96,computer aided medical diagnosis
97,fiber optics applications
98,fiber optics equipment manufacturers
99,iran contra affair
100,controlling the transfer of high technology
101,design of the star wars anti missile defense system
102,laser research applicable to the u s s strategic defense initiative
103,welfare reform
104,catastrophic health insurance
105,black monday
106,u s control of insider trading
107,japanese regulation of insider trading
108,japanese protectionist measures
109,find innovative companies
110,topic black resistance against the south african government
111,nuclear proliferation
112,funding biotechnology
113,new space satellite applications
114,non commercial satellite launches
115,impact of the 1986 immigration law
116,generic drug substitutions
117,capacity of the u s cellular telephone network
118,international terrorists
119,actions against international terrorists
120,economic impact of international terrorism
121,death from cancer
122,rdt of new cancer fighting drugs
123,research into control of carcinogens
124,alternatives to traditional cancer therapies
125,anti smoking actions by government
126,medical ethics and modern technology
127,u s u s s r arms control agreements
128,privatization of state assets
129,soviet spying on the u s
130,jewish emigration and u s ussr relations
131,mcdonnell douglas contracts for military aircraft
132,stealth aircraft
133,hubble space telescope
134,the human genome project
135,possible contributions of gene mapping to medicine
136,diversification by pacific telesis
137,expansion in the u s theme park industry
138,iranian support for lebanese hostage takers
139,iran s islamic revolution domestic and foreign social consequences
140,political impact of islamic fundamentalism
141,japan s handling of its trade surplus with the u s
142,impact of government regulated grain farming on international relations
143,why protect u s farmers
144,management problems at the united nations
145,influence of the pro israel lobby
146,negotiating an end to the nicaraguan civil war
147,productivity trends in the u s economy
148,conflict in the horn of africa
149,industrial espionage
150,u s political campaign financing
151,coping with overcrowded prisons
152,accusations of cheating by contractors on u s defense projects
153,insurance coverage which pays for long term care
154,oil spills
155,right wing christian fundamentalism in u s
156,efforts to enact gun control legislation
157,causes and treatments of multiple sclerosis ms
158,term limitations for members of the u s congress
159,electric car development
160,vitamins the cure for or cause of human ailments
161,acid rain
162,automobile recalls
163,vietnam veterans and agent orange
164,generic drugs illegal activities by manufacturers
165,tobacco company advertising and the young
166,standardized testing and cultural bias
167,regulation of the showing of violence and explicit sex in motion picture theaters on television and on video cassettes
168,financing amtrak
169,cost of garbage trash removal
170,the consequences of implantation of silicone gel breast devices
171,use of mutual funds in an individual s retirement strategy
172,the effectiveness of medical products and related programs utilized in the cessation of smoking
173,smoking bans
174,hazardous waste cleanup
175,nra prevention of gun control legislation
176,real life private investigators
177,english as the official language in u s
178,dog maulings
179,u s restaurants in foreign lands
180,ineffectiveness of u s embargoes sanctions
181,abuse of the elderly by family members and medical and nonmedical personnel and initiatives being taken to minimize this mistreatment
182,commercial overfishing creates food fish deficit
183,asbestos related lawsuits
184,corporate pension plans funds
185,reform of the u s welfare system
186,difference of learning levels among inner city and more suburban school students
187,signs of the demise of independent publishing
188,beachfront erosion
189,real motives for murder
190,instances of fraud involving the use of a computer
191,efforts to improve u s schooling
192,oil spill cleanup
193,toys r dangerous
194,the amount of money earned by writers
195,stock market perturbations attributable to computer initiated trading
196,school choice voucher system and its effects upon the entire u s educational program
197,reform of the jurisprudence system to stop juries from granting unreasonable monetary awards
198,gene therapy and its benefits to humankind
199,legality of medically assisted suicides
200,impact of foreign textile imports on u s textile industry
