qid,query
318,How does Quora look to a moderator
378,How do I refuse to chose between different things to do in my life
379,Did Ben Affleck shine more than Christian Bale as Batman
399,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector
420,Why creativity is important
540,How can I get free gems in Clash of Clans
548,How do you feel when someone upvotes your answer on Quora
609,What are the best thriller movie in Hollywood
744,What should someone do to overcome anxiety
784,Why should one hate Shahrukh Khan
858,What would Hillary Clinton do now that the election is over
975,What are the best ways to prepare for software interviews
1079,How do I become a good computer science engineer
1088,What does it feel like to be beautiful
1164,Do Trump voters care that he has reneged all his campaign promises
1166,Can I learn while sleeping If so how
1248,Is there any other website similar to Quora
1350,What are some interesting facts about Bengaluru
1453,I am 22 my weight is 46 kg and my height is 54 ft What should I do to gain height and weight
1578,What is the Gülen movement
1803,How can I get followers and comments on my blog
1956,How do I get job in Google or Microsoft
1992,Can we map the surface and the subsurface of a planet using cosmic rays or very high frequency gamma rays with ground based telescopes
2004,What would cause an AMP to cut out How do you fix it
2145,Where can I get free books
2254,Who were the Aztec
2429,How can impress a girl who hate me
2615,Kindly tell me whole process of admission at vits Vellore for biotechi m a bio student in 12I dont have math there
2658,What is the benefit to Quora
2661,What is so special about Rolls Royce cars that they are only given to respected personalities
2678,Who are some famous people with low IQs
2757,Who created the GOD
2785,Are there any other republicans here who voted for Hillary Clinton
2791,What has been your most embarrassing moment in front of a stranger
2822,How do I get rid of mosquitoes bites quickly
2824,Did Tywin sleep with Shae out of pure spite
3017,In the world we are second largest country in terms of population but we win only very few medals in the Olympics Why
3076,What causes nuclear reactions in the Sun
3322,How will work and jobs change in the next 1020 years
3459,What websites do you use everyday
3521,How do I deal with my embarrassment
3581,Is death by hanging painful
3594,Which are the best honeymoon locations in Kerala for summer honeymoon trip to Kerala
3612,What should I expect in a Software Engineer interview at Google and how should I prepare
3796,What is the difference between transgender man and transgender woman
3959,How can I find a job in Mumbai
4105,How can I get rid of cellulite on my stomach
4298,Do you think chatbots are really the new apps
4356,How do we live
4584,How can ask questions using photos
4874,How much equity should I get as CTOcofounder
4974,Is the lowest sum rule still used in naming organic compounds
5040,How and where did feudalism develop
5162,What happens when you die in a dream
5319,Should I watch Game of Thrones before I read the books
5498,What can India do to support the people suffering from civilian war in Syria
5516,Which is your favorite ice cream brand Which flavor and why
5647,What can be substituted for butter
5799,What if humans were nocturnal
5851,How do you remove epoxy paint from a concrete surface
6021,How do I get cash off a credit card without the card
6022,How do you get cash back from a credit card
6055,Whats your secret to success
6209,Who was the most powerful king in the history of India
6244,What is the best Grand Theft Auto
6253,How can I observe like Sherlock Holmes
6276,How do I impress the bosss boss
6483,How is it to work with Satya Nadella
6588,What is Atal Pension Yojana What are its benefits
6786,How can I become more charismatic
6936,Why do I feel alone sometimes
6957,Does hypnosis work
7105,What are the requirements of modulation
7222,What is difference between faith and belief
7301,Where does dreams come from
7319,How can I become a billionaire in mindset
7372,Is Donald Trump the 666 Antichrist
7396,Which are the best and cheapest universities in the USA for doing an MS in computer science
7463,Which microcontrollers are generally used in the robotics industry
