qid,docno,label
51,AP880301-0271,1
51,AP880302-0275,1
51,AP880311-0301,1
51,AP880316-0292,1
51,AP880318-0287,1
51,AP880322-0296,0
51,AP880325-0293,1
51,AP880329-0252,0
51,AP880406-0267,1
51,AP880407-0258,1
51,AP880412-0268,1
51,AP880418-0270,0
51,AP880421-0319,0
51,AP880427-0272,0
51,AP880427-0329,0
51,AP880428-0274,0
51,AP880428-0301,1
51,AP880503-0244,0
51,AP880512-0314,0
51,AP880513-0284,0
51,AP880516-0318,0
51,AP880517-0247,0
51,AP880517-0266,0
51,AP880603-0291,0
51,AP880608-0310,0
51,AP880621-0292,0
51,AP880626-0038,0
51,AP880627-0009,0
51,AP880627-0039,0
51,AP880627-0045,1
51,AP880627-0063,0
51,AP880627-0093,1
51,AP880628-0097,1
51,AP880628-0170,1
51,AP880628-0310,1
51,AP880704-0023,0
51,AP880705-0201,0
51,AP880706-0311,1
51,AP880706-0325,0
51,AP880707-0089,0
51,AP880713-0289,0
51,AP880714-0016,0
51,AP880721-0290,0
51,AP880729-0166,0
51,AP880731-0085,1
51,AP880804-0167,0
51,AP880818-0297,0
51,AP880826-0050,0
51,AP880921-0220,0
51,AP880922-0206,1
51,AP880926-0235,1
51,AP881017-0296,0
51,AP881102-0277,0
51,AP881108-0253,1
51,AP881118-0209,1
51,AP881119-0051,1
51,AP881219-0271,0
51,AP881228-0175,0
51,AP881228-0203,0
51,AP890104-0259,0
51,AP890105-0233,0
51,AP890105-0245,0
51,AP890105-0284,0
51,AP890106-0018,0
51,AP890106-0047,0
51,AP890106-0255,0
51,AP890109-0040,0
51,AP890109-0162,0
51,AP890109-0172,0
51,AP890109-0198,0
51,AP890111-0078,0
51,AP890120-0265,0
51,AP890120-0278,0
51,AP890123-0294,0
51,AP890125-0184,0
51,AP890125-0311,0
51,AP890127-0117,1
51,AP890127-0155,1
51,AP890201-0178,0
51,AP890201-0297,0
51,AP890202-0195,0
51,AP890207-0230,0
51,AP890208-0259,0
51,AP890208-0310,0
51,AP890209-0187,0
51,AP890209-0221,0
51,AP890216-0167,0
51,AP890216-0288,0
51,AP890217-0158,0
51,AP890219-0106,0
51,AP890221-0189,0
51,AP890222-0042,0
51,AP890223-0287,0
51,AP890228-0141,0
51,AP890228-0214,0
51,AP890310-0316,0
51,AP890312-0090,0
51,AP890314-0027,0
51,AP890322-0306,0
51,AP890327-0138,0
51,AP890328-0202,0
51,AP890329-0221,0
51,AP890330-0264,0
51,AP890404-0263,1
51,AP890405-0282,0
51,AP890407-0285,0
51,AP890410-0121,0
51,AP890410-0255,0
51,AP890411-0010,1
51,AP890412-0226,0
51,AP890412-0286,0
51,AP890413-0243,0
51,AP890413-0262,0
51,AP890418-0290,0
51,AP890418-0312,0
51,AP890418-0313,0
51,AP890419-0224,0
51,AP890419-0227,0
51,AP890419-0228,0
51,AP890419-0230,0
51,AP890419-0252,0
51,AP890419-0270,0
51,AP890420-0230,0
51,AP890426-0260,0
51,AP890427-0258,0
