qid,query
551,intellectual property
552,foods for cancer patients
553,federal funding mental illness
554,home buying
555,criteria obtain u s visa
556,federal food purchasing
557,clean air clean water
558,u s russian relationship
559,federally assisted community volunteer programs
560,symptoms of diabetes
561,eradication of boll weevils
562,world population growth
563,smoking drinking during pregnancy
564,mother infant nutrition
565,library services for disabled
566,television violence
567,indigenous folk art
568,federal funding art museums
569,invasive animals and plants
570,future occupations
571,tax havens
572,selecting a nursing home
573,teaching jobs europe asia
574,whales dolphins protection
575,nuclear waste storage transportation
576,chesapeake bay ecology
577,dental school locations
578,regulating zoos
579,us fresh drinking water resources
580,us immigration history demographics
581,lymphoma detection symptoms treatment
582,utah ski resorts
583,florida s endangered species
584,birth defects in the us
585,tornado basics
586,women s health cancer
587,bilingual education
588,golf resort locations
589,mental illness in adolescence
590,pilot training schools
591,education indian reservations
592,fuel cell uses
593,bush human rights china
594,foods preventing high cholesterol
595,girls math education
596,federal law enforcement jobs
597,idea legislation
598,foreign terrorist organizations
599,scientific research misconduct
600,highway safety
