qid,docno,label
51,WSJ861203-0077,0
51,WSJ861204-0160,0
51,WSJ861204-0167,0
51,WSJ861209-0043,0
51,WSJ861209-0128,0
51,WSJ861210-0015,0
51,WSJ861210-0078,1
51,WSJ861211-0052,0
51,WSJ861211-0069,1
51,WSJ861215-0050,0
51,WSJ861215-0068,0
51,WSJ861216-0101,0
51,WSJ861218-0063,0
51,WSJ861219-0104,0
51,WSJ861222-0012,0
51,WSJ861222-0013,1
51,WSJ861229-0005,0
51,WSJ861229-0011,0
51,WSJ861229-0012,0
51,WSJ861229-0041,0
51,WSJ861230-0009,0
51,WSJ861230-0012,0
51,WSJ861230-0013,0
51,WSJ861230-0039,0
51,WSJ861230-0155,0
51,WSJ861231-0001,0
51,WSJ861231-0014,0
51,WSJ861231-0031,0
51,WSJ870102-0119,0
51,WSJ870105-0052,0
51,WSJ870107-0016,0
51,WSJ870109-0119,0
51,WSJ870112-0029,0
51,WSJ870113-0118,0
51,WSJ870114-0003,0
51,WSJ870114-0004,0
51,WSJ870114-0013,0
51,WSJ870115-0154,0
51,WSJ870116-0002,0
51,WSJ870116-0087,0
51,WSJ870116-0137,0
51,WSJ870119-0037,0
51,WSJ870120-0096,0
51,WSJ870121-0049,0
51,WSJ870121-0109,0
51,WSJ870121-0110,0
51,WSJ870121-0150,0
51,WSJ870121-0151,1
51,WSJ870122-0066,0
51,WSJ870122-0108,0
51,WSJ870123-0141,0
51,WSJ870123-0170,0
51,WSJ870128-0090,0
51,WSJ870128-0091,1
51,WSJ870128-0125,0
51,WSJ870130-0066,0
51,WSJ870130-0085,0
51,WSJ870202-0081,0
51,WSJ870202-0097,0
51,WSJ870203-0023,0
51,WSJ870203-0024,1
51,WSJ870204-0010,0
51,WSJ870204-0011,1
51,WSJ870210-0040,0
51,WSJ870210-0082,0
51,WSJ870213-0027,0
51,WSJ870217-0070,0
51,WSJ870217-0071,1
51,WSJ870217-0079,0
51,WSJ870219-0099,0
51,WSJ870219-0161,0
51,WSJ870302-0053,0
51,WSJ870302-0147,0
51,WSJ870303-0011,0
51,WSJ870303-0148,0
51,WSJ870304-0010,0
51,WSJ870304-0089,0
51,WSJ870304-0090,0
51,WSJ870309-0002,0
51,WSJ870309-0100,0
51,WSJ870309-0101,0
51,WSJ870309-0139,0
51,WSJ870310-0164,0
51,WSJ870311-0033,0
51,WSJ870311-0034,0
51,WSJ870311-0111,0
51,WSJ870312-0008,0
51,WSJ870312-0026,0
51,WSJ870313-0006,0
51,WSJ870313-0037,0
51,WSJ870313-0073,0
51,WSJ870313-0081,0
51,WSJ870316-0008,0
51,WSJ870316-0067,0
51,WSJ870316-0068,1
51,WSJ870316-0087,0
51,WSJ870319-0001,0
51,WSJ870320-0003,0
51,WSJ870320-0089,0
51,WSJ870323-0045,0
51,WSJ870323-0137,0
51,WSJ870325-0031,0
51,WSJ870325-0085,0
51,WSJ870326-0018,0
51,WSJ870327-0041,0
51,WSJ870327-0046,0
51,WSJ870327-0052,0
51,WSJ870327-0076,0
51,WSJ870330-0014,0
51,WSJ870330-0017,0
51,WSJ870330-0018,0
51,WSJ870403-0100,0
51,WSJ870406-0005,0
51,WSJ870406-0082,0
51,WSJ870406-0083,1
51,WSJ870406-0097,0
51,WSJ870407-0090,0
51,WSJ870407-0091,0
51,WSJ870408-0129,0
51,WSJ870409-0169,0
51,WSJ870413-0048,0
51,WSJ870415-0107,0
51,WSJ870416-0147,0
51,WSJ870420-0006,0
51,WSJ870424-0200,0
51,WSJ870427-0032,0
51,WSJ870429-0004,0
51,WSJ870429-0146,0
51,WSJ870429-0156,0
51,WSJ870429-0157,1
51,WSJ870430-0030,0
51,WSJ870501-0101,0
51,WSJ870504-0153,0
51,WSJ870511-0003,1
51,WSJ870512-0048,0
51,WSJ870512-0111,0
51,WSJ870513-0004,0
51,WSJ870513-0009,0
51,WSJ870513-0116,1
51,WSJ870514-0042,0
51,WSJ870514-0071,0
51,WSJ870514-0072,1
51,WSJ870515-0036,0
51,WSJ870515-0037,0
51,WSJ870515-0086,0
51,WSJ870515-0148,0
51,WSJ870515-0149,1
51,WSJ870519-0002,0
51,WSJ870520-0048,0
51,WSJ870520-0049,1
51,WSJ870522-0096,0
51,WSJ870526-0054,0
51,WSJ870526-0139,0
51,WSJ870526-0179,0
51,WSJ870601-0132,0
51,WSJ870603-0005,0
51,WSJ870603-0064,0
51,WSJ870604-0020,0
51,WSJ870604-0021,1
